Ticker,Return,Market Cap,Sector
BK,-0.3145,31.51,Financial
MSCI,0.309,27.35,Financial
CTSH,-0.1704,29.35,Technology
STZ,-0.0919,29.31,Consumer Defensive
COF,-0.4149,31.86,Financial
HCA,-0.2782,29.01,Healthcare
KLAC,-0.029,27.58,Technology
FDX,-0.2262,31.30,Industrials
VLO,-0.2987,27.51,Energy
PSA,-0.1244,30.02,Real Estate
WEC,-0.066,27.89,Utilities
INFO,-0.1107,27.73,Industrials
APH,-0.161,28.23,Technology
DOW,-0.34,28.67,Basic Materials
TROW,-0.0554,28.22,Financial
SYY,-0.395,28.49,Consumer Defensive
YUM,-0.1338,27.51,Consumer Cyclical
AZO,-0.0574,27.31,Consumer Cyclical
MNST,0.0812,27.00,Consumer Defensive
CMG,0.2611,25.40,Consumer Cyclical
IQV,-0.0751,26.33,Healthcare
TEL,-0.2046,27.72,Technology
ZBH,-0.1756,26.29,Healthcare
VRSK,0.0532,27.45,Industrials
WLTW,-0.017,26.40,Financial
MET,-0.3459,28.46,Financial
KR,0.1166,25.61,Consumer Defensive
ES,-0.0777,26.21,Utilities
CLX,0.2934,25.69,Consumer Defensive
HPQ,-0.1727,22.25,Technology
AFL,-0.344,26.84,Financial
IDXX,0.1286,26.22,Healthcare
A,-0.0039,26.84,Healthcare
SLB,-0.5627,25.98,Energy
MAR,-0.3987,24.82,Consumer Cyclical
TWTR,0.0178,24.43,Communication Services
CMI,-0.1337,25.98,Industrials
CDNS,0.2406,24.74,Technology
TRV,-0.2691,27.80,Financial
SNPS,0.2292,25.89,Technology
PEG,-0.1851,25.64,Utilities
AIG,-0.4372,26.99,Financial
MPC,-0.4096,22.81,Energy
ROK,-0.0024,24.96,Industrials
MSI,-0.1672,23.25,Technology
PCAR,-0.135,25.46,Industrials
WMB,-0.1716,24.03,Energy
MCK,0.0802,25.32,Healthcare
ED,-0.2243,24.30,Utilities
ANSS,0.0484,23.51,Technology
RMD,0.0412,22.63,Healthcare
ALXN,-0.0615,25.34,Healthcare
PRU,-0.3996,24.86,Financial
PPG,-0.2795,24.22,Basic Materials
XLNX,-0.1144,22.44,Technology
VRSN,0.1092,22.01,Technology
FAST,0.0468,23.00,Industrials
JCI,-0.2746,24.29,Industrials
HLT,-0.2932,22.70,Consumer Cyclical
MCHP,-0.1615,22.76,Technology
FE,-0.1638,23.06,Utilities
AVB,-0.2672,22.16,Real Estate
AWK,-0.0174,22.26,Utilities
OTIS,0.1428,20.63,Industrials
PH,-0.1892,22.92,Industrials
PAYX,-0.2055,22.94,Industrials
F,-0.3925,22.81,Consumer Cyclical
CERN,-0.0833,22.29,Healthcare
STT,-0.3006,22.67,Financial
MKC,0.0126,21.03,Consumer Defensive
BLL,-0.0025,23.11,Consumer Cyclical
FLT,-0.1685,21.26,Technology
FTNT,0.3361,19.12,Technology
EQR,-0.2907,21.22,Real Estate
EIX,-0.2517,20.77,Utilities
SWKS,-0.0319,19.70,Technology
CTAS,-0.1057,20.90,Industrials
DTE,-0.2137,20.66,Utilities
ADM,-0.2367,21.75,Consumer Defensive
PPL,-0.2851,21.09,Utilities
HSY,-0.1138,20.14,Consumer Defensive
ETR,-0.1823,20.50,Utilities
KEYS,-0.0056,19.37,Technology
AME,-0.1388,20.80,Industrials
SWK,-0.267,19.10,Industrials
TT,-0.3729,21.66,Industrials
DLTR,-0.1313,23.11,Consumer Defensive
CTVA,-0.1698,20.17,Basic Materials
KHC,-0.0678,18.82,Consumer Defensive
BBY,-0.1239,17.43,Consumer Cyclical
WELL,-0.4153,20.78,Real Estate
APTV,-0.243,18.77,Consumer Cyclical
VFC,-0.4417,19.29,Consumer Cyclical
TDG,-0.32,21.41,Industrials
MKTX,0.2722,18.21,Financial
EFX,0.0493,18.51,Industrials
ARE,-0.0903,19.03,Real Estate
MTD,-0.0567,19.29,Healthcare
TSN,-0.3498,18.47,Consumer Defensive
CPRT,-0.0516,18.27,Industrials
O,-0.2917,19.12,Real Estate
